group;week;zscore
15to44;2019-13;-0.61
15to44;2019-14;-0.24
15to44;2019-15;0.39
15to44;2019-16;-0.34
15to44;2019-17;-1.78
15to44;2019-18;-0.95
15to44;2019-19;-0.7
15to44;2019-20;-0.36
15to44;2019-21;-0.31
15to44;2019-22;-0.67
15to44;2019-23;0.46
15to44;2019-24;-1.09
15to44;2019-25;1.15
15to44;2019-26;2.7
15to44;2019-27;1.72
15to44;2019-28;-0.86
15to44;2019-29;0.09
15to44;2019-30;2.26
15to44;2019-31;0.27
15to44;2019-32;0.46
15to44;2019-33;0.07
15to44;2019-34;-0.31
15to44;2019-35;1.14
15to44;2019-36;-0.24
15to44;2019-37;0.59
15to44;2019-38;-0.09
15to44;2019-39;-0.2
15to44;2019-40;-0.32
15to44;2019-41;1.41
15to44;2019-42;-0.78
15to44;2019-43;1.85
15to44;2019-44;-0.53
15to44;2019-45;-0.31
15to44;2019-46;-0.03
15to44;2019-47;-0.03
15to44;2019-48;-0.61
15to44;2019-49;0.42
15to44;2019-50;0.12
15to44;2019-51;0.17
15to44;2019-52;-0.25
15to44;2020-01;3.46
15to44;2020-02;2.07
15to44;2020-03;0.59
15to44;2020-04;-0.51
15to44;2020-05;3.26
15to44;2020-06;-0.97
15to44;2020-07;1.4
15to44;2020-08;-0.09
15to44;2020-09;1.22
15to44;2020-10;1.62
15to44;2020-11;1.8
15to44;2020-12;0.67
15to44;2020-13;2.98
15to44;2020-14;2.93
15to44;2020-15;4.45
15to44;2020-16;1.59
15to44;2020-17;0.91
15to44;2020-18;-0.94
15to44;2020-19;-1.1
15to44;2020-20;1.39
15to44;2020-21;-0.67
15to44;2020-22;1.25
15to44;2020-23;-0.37
15to44;2020-24;1.03
15to44;2020-25;0.97
15to44;2020-26;0.99
15to44;2020-27;0.64
15to44;2020-28;-0.54
15to44;2020-29;0.1
15to44;2020-30;0.07
15to44;2020-31;2.52
15to44;2020-32;2.27
15to44;2020-33;3.4
15to44;2020-34;1.35
15to44;2020-35;0.52
15to44;2020-36;1.22
15to44;2020-37;2.2
15to44;2020-38;1.73
15to44;2020-39;0.42
15to44;2020-40;0.14
15to44;2020-41;1.4
15to44;2020-42;-0.96
15to44;2020-43;2.73
15to44;2020-44;1.34
15to44;2020-45;0.1
15to44;2020-46;-0.07
15to44;2020-47;0.97
15to44;2020-48;-0.05
15to44;2020-49;4.88
15to44;2020-50;3.33
15to44;2020-51;1.19
15to44;2020-52;1.35
15to44;2020-53;3.69
15to44;2021-01;2.68
15to44;2021-02;3.02
15to44;2021-03;4.01
15to44;2021-04;3.46
15to44;2021-05;2.91
15to44;2021-06;0.44
15to44;2021-07;0.52
15to44;2021-08;-0.12
15to44;2021-09;0.21
15to44;2021-10;0.6
