Variante;Datum;Anteil [%];Gruppenzuordnung
XBB.1;2023-03-22;0.127;XBB.x
XBB.1;2023-03-29;0.048;XBB.x
XBB.1;2023-04-05;0.059;XBB.x
XBB.1;2023-04-12;0.057;XBB.x
XBB.1;2023-04-19;0.066;XBB.x
XBB.1;2023-04-26;0.067;XBB.x
XBB.1;2023-05-03;0.117;XBB.x
XBB.1;2023-05-10;0.074;XBB.x
XBB.1;2023-05-17;0.114;XBB.x
XBB.1;2023-05-24;0.084;XBB.x
XBB.1;2023-05-31;0.106;XBB.x
XBB.1;2023-06-07;0.066;XBB.x
XBB.1;2023-06-14;0.025;XBB.x
XBB.1;2023-06-21;0.085;XBB.x
XBB.1;2023-06-28;0.067;XBB.x
XBB.1;2023-07-05;0.033;XBB.x
XBB.1;2023-07-12;0.013;XBB.x
XBB.1;2023-07-19;0.01;XBB.x
XBB.1;2023-07-26;0.008;XBB.x
XBB.1;2023-08-02;0.015;XBB.x
XBB.1;2023-08-09;0.016;XBB.x
XBB.1;2023-08-16;0.002;XBB.x
XBB.1;2023-08-23;0.011;XBB.x
XBB.1;2023-08-30;0.001;XBB.x
XBB.1;2023-09-06;0.005;XBB.x
XBB.1;2023-09-13;0.031;XBB.x
XBB.1;2023-09-20;0.024;XBB.x
XBB.1;2023-09-27;0.004;XBB.x
XBB.1;2023-10-04;0.004;XBB.x
XBB.1;2023-10-11;0.002;XBB.x
XBB.1;2023-10-18;0.004;XBB.x
XBB.1;2023-10-25;0.001;XBB.x
XBB.1;2023-11-01;0.001;XBB.x
XBB.1;2023-11-08;0.002;XBB.x
XBB.1;2023-11-15;0.001;XBB.x
XBB.1;2023-11-22;0.0;XBB.x
XBB.1;2023-11-29;0.0;XBB.x
XBB.1;2023-12-06;0.0;XBB.x
XBB.1;2023-12-13;0.0;XBB.x
XBB.1;2023-12-20;0.0;XBB.x
XBB.1;2023-12-27;0.001;XBB.x
XBB.1;2024-01-03;0.0;XBB.x
XBB.1;2024-01-10;0.01;XBB.x
XBB.1;2024-01-17;0.0;XBB.x
XBB.1;2024-01-24;0.005;XBB.x
XBB.1;2024-01-31;0.005;XBB.x
XBB.1;2024-02-07;0.0;XBB.x
XBB.1;2024-02-14;0.001;XBB.x
XBB.1;2024-02-21;0.004;XBB.x
XBB.1;2024-02-28;0.0;XBB.x
XBB.1;2024-03-06;0.0;XBB.x
XBB.1;2024-03-13;0.01;XBB.x
XBB.1;2024-03-20;0.005;XBB.x
XBB.1;2024-03-27;0.013;XBB.x
XBB.1;2024-04-03;0.005;XBB.x
XBB.1;2024-04-10;0.0;XBB.x
XBB.1;2024-04-17;0.0;XBB.x
XBB;2022-09-21;0.0;XBB.x
XBB;2022-09-28;0.002;XBB.x
XBB;2022-10-05;0.0;XBB.x
XBB;2022-10-12;0.001;XBB.x
XBB;2022-10-19;0.003;XBB.x
XBB;2022-10-26;0.005;XBB.x
XBB;2022-11-02;0.006;XBB.x
XBB;2022-11-09;0.006;XBB.x
XBB;2022-11-16;0.0;XBB.x
XBB;2022-11-23;0.002;XBB.x
XBB;2022-11-30;0.003;XBB.x
XBB;2022-12-07;0.02;XBB.x
XBB;2022-12-14;0.002;XBB.x
XBB;2022-12-21;0.015;XBB.x
XBB;2022-12-28;0.004;XBB.x
XBB;2023-01-04;0.008;XBB.x
XBB;2023-01-11;0.062;XBB.x
XBB;2023-01-18;0.034;XBB.x
XBB;2023-01-25;0.018;XBB.x
XBB;2023-02-01;0.011;XBB.x
XBB;2023-02-08;0.044;XBB.x
XBB;2023-02-15;0.058;XBB.x
XBB;2023-02-22;0.035;XBB.x
XBB;2023-03-01;0.024;XBB.x
XBB;2023-03-08;0.014;XBB.x
XBB;2023-03-15;0.018;XBB.x
XBB;2023-03-22;0.015;XBB.x
XBB;2023-03-29;0.018;XBB.x
XBB;2023-04-05;0.021;XBB.x
XBB;2023-04-12;0.019;XBB.x
XBB;2023-04-19;0.017;XBB.x
XBB;2023-04-26;0.015;XBB.x
XBB;2023-05-03;0.029;XBB.x
XBB;2023-05-10;0.033;XBB.x
XBB;2023-05-17;0.047;XBB.x
XBB;2023-05-24;0.031;XBB.x
XBB;2023-05-31;0.067;XBB.x
XBB;2023-06-07;0.051;XBB.x
XBB;2023-06-14;0.052;XBB.x
XBB;2023-06-21;0.046;XBB.x
XBB;2023-06-28;0.033;XBB.x
XBB;2023-07-05;0.031;XBB.x
XBB;2023-07-12;0.01;XBB.x
