JAHR;KW;BUNDESLAND;STATION;COVID;INFLUENZA;RSV;PNEUMOKOKKEN;SONSTIGE;AUFNAHMEN
2023;43;KTN;I;1;0;0;0;6;7
2023;43;KTN;N;62;0;0;1;96;154
2023;43;NÖ;I;4;0;0;0;6;10
2023;43;NÖ;N;165;1;1;4;156;312
2023;43;OÖ;I;7;0;0;0;9;16
2023;43;OÖ;N;139;1;2;5;156;289
2023;43;SBG;I;2;0;0;0;5;7
2023;43;SBG;N;52;2;0;1;63;110
2023;43;ST;I;9;0;1;0;5;15
2023;43;ST;N;104;0;0;3;151;250
2023;43;T;I;6;0;0;0;8;12
2023;43;T;N;106;1;0;2;98;193
2023;43;V;I;1;0;0;0;2;2
2023;43;V;N;33;1;1;7;50;91
2023;43;W;I;10;0;0;1;14;25
2023;43;W;N;119;1;1;5;181;290
2023;44;BGL;I;3;0;0;0;0;3
2023;44;BGL;N;32;0;0;0;34;60
2023;44;KTN;I;0;0;0;0;4;4
2023;44;KTN;N;80;0;0;3;91;164
2023;44;NÖ;I;10;0;0;1;10;15
2023;44;NÖ;N;190;1;0;3;141;317
2023;44;OÖ;I;4;0;0;0;11;14
2023;44;OÖ;N;180;2;0;1;172;339
2023;44;SBG;I;1;0;0;1;4;4
2023;44;SBG;N;48;0;2;1;49;96
2023;44;ST;I;5;1;0;0;11;17
2023;44;ST;N;154;0;1;4;158;303
2023;44;T;I;5;0;0;0;4;8
2023;44;T;N;74;2;0;5;93;166
2023;44;V;I;2;0;0;1;7;8
2023;44;V;N;32;0;2;3;63;98
2023;44;W;I;5;0;0;0;8;13
2023;44;W;N;107;1;2;1;146;241
2023;45;BGL;I;2;0;0;1;1;3
2023;45;BGL;N;43;1;0;1;26;69
2023;45;KTN;I;1;0;0;1;1;3
2023;45;KTN;N;69;0;0;3;94;160
2023;45;NÖ;I;7;0;0;0;6;12
2023;45;NÖ;N;183;3;0;1;157;321
2023;45;OÖ;I;7;0;0;1;7;15
2023;45;OÖ;N;160;1;1;7;184;338
2023;45;SBG;I;3;0;0;0;7;10
2023;45;SBG;N;52;0;0;2;59;111
2023;45;ST;I;9;0;0;0;10;19
2023;45;ST;N;143;5;3;5;136;281
2023;45;T;I;5;0;0;1;9;14
2023;45;T;N;88;0;0;5;84;169
2023;45;V;I;2;0;0;0;2;4
2023;45;V;N;29;1;0;5;51;80
2023;45;W;I;7;0;0;1;8;15
2023;45;W;N;116;2;0;2;138;244
2023;46;BGL;I;2;0;0;0;1;2
2023;46;BGL;N;55;0;0;0;44;93
2023;46;KTN;I;2;0;0;0;2;4
2023;46;KTN;N;106;0;0;1;84;182
2023;46;NÖ;I;3;0;0;0;6;9
2023;46;NÖ;N;229;3;0;2;145;344
2023;46;OÖ;I;10;0;0;0;8;16
2023;46;OÖ;N;212;4;0;4;157;361
2023;46;SBG;I;1;0;1;0;2;4
2023;46;SBG;N;73;0;1;2;49;118
2023;46;ST;I;8;0;0;2;10;20
